Object,Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM,CA DistanceNominal(LD/AU),CA DistanceMinimum(LD/AU),Vrelative(km/s),Vinfinity(km/s),Nsigma,H(mag),ref,class
(2017 DC),2017-Feb-10 16:27 ±,10.27/0.02639,10.22/0.02627,32.28,32.28,1150.0,23.0,6,NEA
(2014 DV110),2017-Feb-10 19:45 ±   17:21,9.85/0.02531,0.88/0.00225,7.95,7.94,4600.0,24.9,9,NEA
(2017 BO6),2017-Feb-12 04:05 ±,18.19/0.04674,18.09/0.04648,7.22,7.21,313.0,26.1,6,NEA
(2017 CP32),2017-Feb-12 05:35 ±,2.39/0.00614,2.39/0.00613,10.36,10.32,971.0,23.9,5,NEA
(2015 QR3),2017-Feb-12 10:38 ±,13.30/0.03419,13.30/0.03419,7.0,6.99,192000.0,25.7,6,NEA
(2017 BK32),2017-Feb-12 12:36 ±,10.57/0.02715,10.52/0.02704,13.44,13.43,518.0,26.1,4,NEA
(2017 DT15),2017-Feb-13 07:28 ±,17.20/0.04421,17.18/0.04415,4.86,4.85,1210.0,25.2,11,NEA
(2017 DY119),2017-Feb-13 12:42 ±   03:55,6.95/0.01785,6.58/0.01690,13.62,13.61,42.4,26.1,1,NEA
(2017 DK34),2017-Feb-13 14:23 ±,6.15/0.01581,6.14/0.01577,8.64,8.62,649.0,26.8,2,NEA
(2017 DS15),2017-Feb-13 22:28 ±,6.51/0.01673,6.47/0.01663,19.14,19.13,400.0,25.7,2,NEA
(2017 BW),2017-Feb-17 01:41 ±,4.63/0.01191,4.63/0.01191,4.97,4.92,10100000.0,23.4,36,NEA
(2017 DW119),2017-Feb-17 12:02 ±   01:37,15.03/0.03862,10.31/0.02648,7.71,7.7,6.02,26.7,1,NEA
(2017 DP36),2017-Feb-17 17:10 ±,1.53/0.00393,1.52/0.00391,6.13,6.01,551.0,28.3,1,NEA
(2017 DH16),2017-Feb-17 23:16 ±,3.33/0.00855,3.32/0.00852,9.52,9.48,533.0,27.1,4,NEA
(2017 DC36),2017-Feb-18 12:06 ±,4.23/0.01088,4.23/0.01087,8.16,8.13,3160.0,22.1,21,NEA
(2017 DX119),2017-Feb-18 15:58 ±   00:04,2.27/0.00584,2.26/0.00582,9.48,9.44,790.0,28.5,1,NEA
(2017 DZ35),2017-Feb-19 08:40 ±,6.40/0.01645,6.39/0.01642,8.48,8.46,880.0,26.3,2,NEA
(2017 DF),2017-Feb-19 09:27 ±,2.09/0.00536,2.09/0.00536,5.37,5.28,7430.0,26.6,7,NEA
(2017 DB),2017-Feb-20 16:34 ±,1.82/0.00468,1.82/0.00468,8.1,8.03,1360.0,27.0,4,NEA
(2017 DV15),2017-Feb-21 03:16 ±,8.76/0.02251,8.75/0.02250,6.93,6.91,3140.0,25.2,6,NEA
(2017 DQ34),2017-Feb-22 00:54 ±,15.48/0.03978,15.38/0.03952,13.45,13.44,326.0,26.0,3,NEA
(2016 CO246),2017-Feb-22 02:04 ±,15.32/0.03937,15.32/0.03937,5.42,5.41,114000.0,26.1,11,NEA
(2017 DP34),2017-Feb-22 02:25 ±,13.48/0.03463,13.44/0.03453,8.57,8.57,641.0,24.2,6,NEA
(2017 FB3),2017-Feb-22 14:17 ±   01:29,11.34/0.02914,11.24/0.02888,4.32,4.3,157.0,25.7,1,NEA
(2017 DD36),2017-Feb-22 15:15 ±,2.49/0.00639,2.48/0.00638,8.5,8.45,780.0,26.7,5,NEA
(2017 DD),2017-Feb-23 11:36 ±,14.58/0.03747,14.57/0.03744,7.52,7.51,1780.0,23.2,7,NEA
(2017 DZ37),2017-Feb-23 19:46 ±,1.01/0.00258,1.00/0.00258,13.01,12.93,719.0,28.6,1,NEA
(2017 DR109),2017-Feb-23 20:34 ±,2.32/0.00596,2.32/0.00595,7.19,7.13,662.0,27.6,1,NEA
(2017 DG16),2017-Feb-23 21:08 ±,0.36/0.00092,0.36/0.00092,6.91,6.48,1860.0,29.3,3,NEA
(2017 BY93),2017-Feb-23 22:00 ±,2.37/0.00609,2.37/0.00609,19.25,19.22,744000.0,23.1,27,NEA
(2017 DU34),2017-Feb-24 01:52 ±,9.99/0.02566,9.97/0.02561,10.65,10.64,1000.0,26.8,3,NEA
(2017 DT34),2017-Feb-24 03:33 ±,2.44/0.00627,2.44/0.00627,10.59,10.55,2690.0,27.8,2,NEA
5604 (1992 FE),2017-Feb-24 10:03 ±,13.07/0.03360,13.07/0.03360,11.94,11.94,1040000.0,17.2,111,NEA
(2017 CP1),2017-Feb-24 10:26 ±,3.58/0.00920,3.58/0.00920,4.55,4.49,10700.0,24.6,18,NEA
(2017 DR34),2017-Feb-25 04:52 ±,0.58/0.00149,0.58/0.00149,11.41,11.26,2310.0,29.2,1,NEA
(2017 DX35),2017-Feb-25 10:27 ±,13.27/0.03409,13.23/0.03400,5.68,5.67,602.0,27.1,2,NEA
(2017 DF38),2017-Feb-26 03:50 ±,8.88/0.02281,8.86/0.02277,8.64,8.63,1060.0,26.0,3,NEA
(2017 EA3),2017-Feb-26 12:01 ±,10.76/0.02764,10.73/0.02757,10.45,10.44,786.0,23.2,4,NEA
(2016 FU12),2017-Feb-26 16:36 ±   00:37,16.25/0.04175,15.66/0.04024,3.88,3.86,396.0,26.9,3,NEA
(2017 DV36),2017-Feb-27 02:58 ±,1.02/0.00263,1.02/0.00263,10.78,10.68,2880.0,27.9,2,NEA
(2017 DA38),2017-Feb-27 05:03 ±,7.29/0.01874,7.29/0.01872,7.48,7.46,2190.0,24.9,8,NEA
(2017 ET2),2017-Feb-27 19:40 ±,12.08/0.03104,11.91/0.03061,10.8,10.79,143.0,25.8,3,NEA
(2017 DS34),2017-Feb-27 19:49 ±,7.12/0.01829,7.08/0.01821,21.97,21.97,526.0,25.7,4,NEA
(2017 BM123),2017-Feb-27 20:02 ±,12.43/0.03194,12.42/0.03192,8.68,8.67,3630.0,23.7,12,NEA
(2017 DS37),2017-Feb-28 01:20 ±,7.43/0.01909,7.42/0.01906,5.51,5.48,886.0,27.3,1,NEA
(2017 DJ16),2017-Feb-28 21:50 ±,4.07/0.01046,4.05/0.01042,11.08,11.05,532.0,25.8,5,NEA
(2017 ED23),2017-Mar-01 01:36 ±   00:44,6.46/0.01660,6.31/0.01621,25.32,25.32,121.0,24.6,1,NEA
(2017 EK4),2017-Mar-01 01:42 ±,10.88/0.02796,10.78/0.02771,10.75,10.75,221.0,26.4,2,NEA
(2017 EJ4),2017-Mar-01 14:14 ±,16.93/0.04351,16.86/0.04332,6.77,6.76,392.0,25.4,2,NEA
(2017 EF3),2017-Mar-02 01:27 ±,18.52/0.04758,18.29/0.04700,17.09,17.09,187.0,24.3,2,NEA
(2017 ED),2017-Mar-02 13:25 ±,5.35/0.01375,5.35/0.01374,5.02,4.98,2140.0,26.3,7,NEA
(2017 EA),2017-Mar-02 14:05 ±,0.05/0.00014,0.05/0.00014,18.43,17.36,15900.0,30.8,1,NEA
(2012 DR32),2017-Mar-02 19:30 ±,4.68/0.01201,4.68/0.01201,16.55,16.53,105000.0,24.8,11,NEA
(2017 EJ1),2017-Mar-03 02:44 ±,2.16/0.00556,2.16/0.00555,9.41,9.36,868.0,27.7,3,NEA
(2017 EG1),2017-Mar-03 07:07 ±   00:01,4.42/0.01135,4.37/0.01123,6.11,6.07,164.0,27.5,1,NEA
(2017 DP109),2017-Mar-03 07:40 ±,2.56/0.00658,2.56/0.00657,11.92,11.89,833.0,26.9,1,NEA
(2017 FB1),2017-Mar-03 13:26 ±   00:16,11.90/0.03059,11.61/0.02983,22.73,22.73,257.0,23.4,3,NEA
(2017 DW34),2017-Mar-04 02:35 ±,19.11/0.04911,18.92/0.04861,22.19,22.19,244.0,23.2,5,NEA
(2017 FF1),2017-Mar-04 09:29 ±   00:36,10.47/0.02691,10.31/0.02649,11.94,11.94,144.0,26.0,1,NEA
(2017 EL4),2017-Mar-04 21:33 ±,8.22/0.02113,8.16/0.02096,16.65,16.64,272.0,25.4,2,NEA
(2017 FR),2017-Mar-05 02:24 ±   00:04,5.82/0.01495,5.80/0.01489,6.36,6.33,429.0,25.4,4,NEA
(2017 EJ),2017-Mar-05 11:38 ±,4.87/0.01251,4.86/0.01248,28.07,28.07,1150.0,25.4,2,NEA
(2017 DS109),2017-Mar-05 14:29 ±,0.92/0.00236,0.92/0.00236,11.38,11.28,3670.0,26.0,2,NEA
(2017 EV),2017-Mar-05 19:34 ±,2.78/0.00714,2.78/0.00713,8.53,8.49,1380.0,26.8,3,NEA
(2017 FM2),2017-Mar-06 00:07 ±   00:02,7.00/0.01799,6.97/0.01792,3.35,3.3,454.0,25.4,1,NEA
(2017 EA23),2017-Mar-06 07:49 ±   00:04,6.94/0.01784,6.31/0.01622,15.13,15.12,22.6,26.1,1,NEA
(2017 DZ108),2017-Mar-06 10:42 ±,11.06/0.02843,11.04/0.02836,5.97,5.95,670.0,26.2,5,NEA
(2017 EF4),2017-Mar-06 22:33 ±,7.46/0.01917,7.43/0.01909,7.98,7.96,455.0,26.2,2,NEA
(2017 EF),2017-Mar-07 07:00 ±,7.43/0.01909,7.42/0.01906,9.53,9.52,1210.0,27.2,2,NEA
(2017 DL34),2017-Mar-07 08:17 ±,18.45/0.04740,18.39/0.04726,5.99,5.98,600.0,25.9,9,NEA
(2017 DD38),2017-Mar-07 12:20 ±,14.95/0.03841,14.88/0.03824,17.15,17.14,524.0,24.4,5,NEA
(2017 EW),2017-Mar-07 13:57 ±,4.48/0.01150,4.45/0.01144,11.68,11.66,367.0,27.0,3,NEA
(2017 FV2),2017-Mar-07 22:36 ±   00:04,15.87/0.04077,15.51/0.03985,22.44,22.44,118.0,23.2,1,NEA
(2017 DV35),2017-Mar-08 14:07 ±   00:01,9.64/0.02478,9.63/0.02473,3.51,3.48,783.0,27.2,6,NEA
(2017 EZ2),2017-Mar-08 20:37 ±,5.86/0.01507,5.86/0.01506,10.48,10.46,2330.0,25.1,3,NEA
(2017 DR35),2017-Mar-09 04:30 ±   00:01,11.77/0.03024,11.69/0.03005,5.47,5.45,260.0,26.3,4,NEA
(2015 EF),2017-Mar-10 03:40 ± 1_17:35,18.81/0.04834,2.26/0.00580,15.96,15.96,9250.0,26.8,4,NEA
(2017 EH3),2017-Mar-10 05:44 ±,15.53/0.03990,15.49/0.03981,9.06,9.05,800.0,25.8,2,NEA
(2017 FU),2017-Mar-10 14:06 ±,14.56/0.03740,14.49/0.03724,8.86,8.85,421.0,25.6,3,NEA
(2017 DA36),2017-Mar-10 22:09 ±,4.04/0.01039,4.04/0.01038,7.19,7.15,2750.0,25.1,16,NEA
(2012 EQ10),2017-Mar-11 11:25 ± 2_10:23,17.33/0.04453,8.90/0.02288,7.68,7.67,102000.0,25.9,7,NEA
(2017 EE3),2017-Mar-11 21:07 ±,7.77/0.01996,7.76/0.01993,8.62,8.6,1360.0,26.0,5,NEA
(2017 EM),2017-Mar-12 08:36 ±,13.86/0.03561,13.82/0.03551,7.59,7.58,643.0,25.8,3,NEA
(2017 EK),2017-Mar-13 23:35 ±,4.95/0.01273,4.95/0.01271,12.67,12.65,1220.0,24.1,11,NEA
(2017 EU2),2017-Mar-14 05:40 ±,12.36/0.03176,12.32/0.03165,8.86,8.85,565.0,25.5,1,NEA
(2017 EK3),2017-Mar-14 12:15 ±,10.33/0.02654,10.30/0.02646,6.76,6.74,574.0,26.3,3,NEA
(2017 FW),2017-Mar-14 21:57 ±,4.44/0.01141,4.43/0.01138,14.08,14.07,944.0,26.5,3,NEA
(2017 EE4),2017-Mar-16 06:31 ±,7.04/0.01809,7.03/0.01806,12.14,12.12,1160.0,25.0,4,NEA
(1998 SL36),2017-Mar-16 13:30 ±,8.34/0.02143,8.34/0.02143,14.82,14.82,172000.0,20.3,29,NEA
(2017 FU2),2017-Mar-16 20:48 ±,7.26/0.01865,7.22/0.01856,8.06,8.04,360.0,27.8,1,NEA
(2017 FW2),2017-Mar-16 23:55 ±,5.00/0.01285,4.99/0.01283,13.94,13.92,1130.0,25.6,2,NEA
(2017 FY),2017-Mar-17 03:49 ±,18.91/0.04860,18.74/0.04816,7.74,7.73,197.0,24.8,3,NEA
(2017 EG3),2017-Mar-17 10:57 ±   00:05,4.38/0.01126,4.35/0.01118,8.27,8.24,250.0,26.4,1,NEA
(2017 FD3),2017-Mar-17 14:29 ±,0.47/0.00120,0.47/0.00120,11.58,11.39,967.0,27.7,1,NEA
(2017 FA3),2017-Mar-17 14:51 ±,1.72/0.00441,1.71/0.00439,12.78,12.74,474.0,28.1,1,NEA
(2017 FQ63),2017-Mar-17 18:58 ±,7.37/0.01894,7.35/0.01888,8.43,8.42,582.0,25.5,2,NEA
(2017 FS),2017-Mar-19 03:33 ±,0.28/0.00073,0.28/0.00073,20.05,19.86,1050.0,29.0,1,NEA
(2017 FK),2017-Mar-20 12:00 ±,1.74/0.00447,1.74/0.00446,9.86,9.8,2050.0,27.4,3,NEA
(2017 FR63),2017-Mar-20 13:07 ±   00:03,9.29/0.02388,9.26/0.02380,5.7,5.68,509.0,26.0,1,NEA
(2017 FN1),2017-Mar-20 21:02 ±,0.16/0.00042,0.16/0.00042,18.27,17.92,1390.0,30.6,2,NEA
(2017 FM1),2017-Mar-20 22:38 ±,0.33/0.00086,0.33/0.00086,10.42,10.12,2350.0,29.5,1,NEA
(2017 FJ),2017-Mar-21 15:02 ±,1.98/0.00510,1.98/0.00509,9.26,9.21,1740.0,28.1,4,NEA
(2017 FL1),2017-Mar-21 18:48 ±,17.85/0.04587,17.80/0.04573,7.12,7.11,555.0,24.4,3,NEA
(2017 FO),2017-Mar-21 21:45 ±,12.18/0.03131,12.03/0.03092,10.09,10.08,155.0,26.4,2,NEA
