Object,Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM,CA DistanceNominal(LD/AU),CA DistanceMinimum(LD/AU),Vrelative(km/s),Vinfinity(km/s),Nsigma,H(mag),ref,class
(2016 DM1),2016-Mar-03 18:25 ±,5.91/0.01519,5.91/0.01518,14.65,14.64,1900.0,26.1,8,NEA
413577 (2005 UL5),2015-Nov-20 04:14 ±,5.95/0.01528,5.95/0.01528,18.99,18.98,5850000.0,20.2,73,NEA
(2016 RU33),2016-Sep-16 01:14 ±,6.00/0.01542,5.99/0.01538,6.78,6.76,682.0,27.5,1,NEA
(2016 RH17),2016-Sep-11 00:49 ±,6.06/0.01557,6.02/0.01548,14.09,14.08,364.0,23.6,2,NEA
(2016 CN194),2016-Feb-13 13:57 ±,6.11/0.01570,6.10/0.01568,8.26,8.24,1340.0,27.0,5,NEA
(2016 DK1),2016-Feb-20 17:17 ±,6.15/0.01580,6.14/0.01577,7.38,7.35,1030.0,27.4,19,NEA
(2009 DL46),2016-May-24 17:59 ±,6.16/0.01583,6.16/0.01583,6.46,6.44,20300000.0,21.5,67,NEA
(2016 AP131),2016-Jan-11 06:57 ±,6.16/0.01584,6.15/0.01581,8.14,8.12,873.0,27.0,3,NEA
(2016 PN39),2016-Jul-29 11:37 ±,6.17/0.01586,6.17/0.01585,10.02,10.01,5580.0,25.5,3,NEA
(2016 RM20),2016-Sep-20 10:29 ±   00:01,6.22/0.01598,6.18/0.01588,5.78,5.75,283.0,26.2,2,NEA
(2016 JU28),2016-May-07 10:48 ±,6.23/0.01600,6.19/0.01592,8.13,8.11,366.0,27.6,3,NEA
(2015 UH52),2015-Oct-20 22:45 ±,6.23/0.01600,6.22/0.01597,10.79,10.78,1080.0,26.0,10,NEA
(2016 EG85),2016-Mar-04 00:32 ±,6.29/0.01616,6.26/0.01609,11.21,11.2,456.0,26.8,5,NEA
(2015 VO64),2015-Nov-06 21:38 ±,6.31/0.01621,6.30/0.01619,10.48,10.47,2400.0,26.3,7,NEA
(2015 XV1),2015-Dec-09 07:24 ±,6.33/0.01628,6.31/0.01621,12.0,11.99,493.0,26.9,7,NEA
(2016 BJ15),2016-Jan-25 11:56 ±,6.34/0.01629,6.33/0.01626,11.04,11.02,1200.0,23.4,17,NEA
(2016 FY3),2016-Apr-25 11:48 ±,6.35/0.01632,6.35/0.01632,20.69,20.68,22200.0,20.7,34,NEA
(2015 YQ10),2015-Dec-19 21:25 ±   00:01,6.38/0.01638,6.34/0.01628,8.99,8.97,291.0,27.0,2,NEA
(2016 LJ8),2016-Jun-13 07:39 ±,6.39/0.01642,6.36/0.01635,9.07,9.05,461.0,25.1,7,NEA
(2015 YS9),2015-Dec-25 17:28 ±,6.43/0.01651,6.41/0.01646,8.43,8.42,597.0,26.0,10,NEA
(2016 AW192),2016-Jan-08 14:07 ±   00:03,6.45/0.01657,6.37/0.01637,19.96,19.95,198.0,25.3,3,NEA
(2016 EU28),2016-Mar-12 06:51 ±,6.45/0.01659,6.41/0.01646,13.31,13.3,281.0,25.9,6,NEA
(2015 XE55),2015-Nov-16 22:41 ±   00:14,6.57/0.01689,6.51/0.01674,8.98,8.96,222.0,26.0,2,NEA
(2016 AT193),2016-Jan-06 14:40 ±   00:03,6.58/0.01692,6.51/0.01673,14.98,14.96,196.0,26.6,2,NEA
(2016 MO),2016-Jul-07 13:22 ±,6.64/0.01706,6.63/0.01702,7.72,7.7,816.0,24.9,7,NEA
(2016 CD137),2016-Feb-19 05:23 ±,6.64/0.01707,6.64/0.01705,7.47,7.45,1540.0,26.1,8,NEA
(2016 NE39),2016-Jul-26 12:25 ±   00:04,6.65/0.01709,6.56/0.01686,18.29,18.28,180.0,23.4,2,NEA
(2012 XT111),2015-Dec-05 01:17 ±,6.69/0.01719,6.69/0.01719,14.52,14.51,47100.0,25.9,10,NEA
(2016 EF156),2016-Mar-17 06:13 ±,6.69/0.01720,6.68/0.01716,17.48,17.47,1060.0,24.7,6,NEA
(2016 EP84),2016-Feb-17 21:26 ±,6.71/0.01725,6.71/0.01724,2.88,2.82,13400.0,27.4,18,NEA
(2016 CA30),2016-Jan-22 09:13 ±   00:02,6.73/0.01728,6.65/0.01709,6.51,6.49,156.0,27.5,4,NEA
(2015 XV261),2015-Dec-08 03:07 ±,6.78/0.01743,6.77/0.01740,12.0,11.99,946.0,25.4,6,NEA
(2016 EV84),2016-Mar-10 19:24 ±,6.80/0.01747,6.79/0.01746,7.5,7.48,2200.0,26.8,10,NEA
(2016 DY21),2016-Feb-19 18:28 ±,6.80/0.01748,6.79/0.01744,12.7,12.69,1340.0,25.8,8,NEA
(2016 DG),2016-Feb-14 03:25 ±,6.82/0.01753,6.79/0.01745,7.88,7.86,407.0,27.7,2,NEA
(2016 AD65),2015-Dec-27 21:13 ±   00:03,6.86/0.01764,6.78/0.01742,8.93,8.91,147.0,27.0,3,NEA
(2015 VA106),2015-Nov-06 20:48 ±,6.91/0.01775,6.90/0.01774,11.53,11.52,3510.0,22.6,22,NEA
(2016 CZ30),2016-Feb-05 13:05 ±,6.93/0.01781,6.92/0.01779,12.22,12.2,1690.0,25.7,6,NEA
(2015 XX378),2015-Dec-24 01:53 ±,6.94/0.01783,6.93/0.01781,15.32,15.31,1380.0,24.8,4,NEA
(2015 VC106),2015-Nov-18 01:33 ±,6.99/0.01797,6.98/0.01795,6.01,5.99,1560.0,26.3,6,NEA
(2016 EE1),2016-Feb-28 23:22 ±,7.03/0.01807,7.01/0.01800,15.08,15.07,586.0,24.5,5,NEA
(2015 XV384),2015-Dec-19 03:16 ±   01:10,7.04/0.01809,6.94/0.01782,9.72,9.71,185.0,26.4,2,NEA
(2015 XE),2015-Nov-23 12:13 ±,7.05/0.01812,7.05/0.01812,5.73,5.7,10700.0,24.7,21,NEA
(2016 FY13),2016-Mar-17 16:30 ±   00:30,7.11/0.01828,6.69/0.01720,13.62,13.61,35.9,23.9,2,NEA
(2016 AT131),2016-Jan-08 06:52 ±,7.14/0.01834,7.12/0.01829,6.16,6.13,633.0,27.4,8,NEA
(2015 VD105),2015-Nov-16 23:50 ±,7.22/0.01856,7.21/0.01853,12.75,12.73,1190.0,24.6,5,NEA
(2016 AY64),2016-Jan-01 18:35 ±,7.24/0.01860,7.18/0.01845,11.19,11.18,258.0,26.3,5,NEA
(2016 NC1),2016-Jul-13 00:34 ±,7.28/0.01870,7.27/0.01867,4.45,4.42,1350.0,25.5,3,NEA
(2016 CA248),2016-Feb-09 11:36 ±   00:01,7.32/0.01882,7.25/0.01862,8.57,8.56,178.0,27.8,3,NEA
(2015 YJ1),2015-Dec-24 00:53 ±,7.38/0.01896,7.35/0.01888,6.08,6.06,425.0,27.6,5,NEA
(2016 GC),2016-Mar-29 00:58 ±,7.38/0.01897,7.35/0.01889,8.17,8.15,454.0,26.4,5,NEA
(2016 DF1),2016-Feb-20 22:43 ±,7.39/0.01900,7.37/0.01893,21.24,21.24,681.0,24.3,10,NEA
(2015 XA169),2015-Dec-12 14:59 ±,7.41/0.01904,7.39/0.01898,10.31,10.3,630.0,27.4,9,NEA
(2016 LT10),2016-Jun-12 14:58 ±,7.42/0.01907,7.41/0.01904,4.68,4.65,1100.0,26.8,5,NEA
(2016 AE65),2015-Dec-21 17:59 ±   00:10,7.46/0.01916,7.32/0.01882,8.61,8.6,128.0,24.7,4,NEA
(2015 VE66),2015-Nov-21 22:32 ±,7.47/0.01919,7.47/0.01918,7.22,7.2,5890.0,24.1,32,NEA
(2015 WA13),2015-Dec-06 15:19 ±,7.48/0.01921,7.48/0.01921,4.3,4.26,1000000.0,26.1,17,NEA
(2015 VG65),2015-Nov-05 04:28 ±,7.59/0.01949,7.56/0.01943,14.97,14.96,736.0,26.1,6,NEA
(2016 PX8),2016-Aug-11 08:34 ±,7.60/0.01953,7.52/0.01933,9.84,9.83,190.0,27.1,2,NEA
(2016 AN9),2016-Jan-07 00:55 ±,7.67/0.01971,7.63/0.01960,8.73,8.72,327.0,26.8,3,NEA
(2005 GR33),2016-Apr-13 03:28 ±,7.72/0.01985,7.72/0.01985,15.87,15.87,210000.0,22.0,25,NEA
(2016 GH3),2016-Apr-08 01:41 ±,7.85/0.02017,7.84/0.02015,5.65,5.62,1940.0,27.4,10,NEA
(2016 FH12),2016-Apr-23 00:15 ±   00:04,7.87/0.02023,7.76/0.01995,8.71,8.7,408.0,26.6,4,NEA
(2016 EE28),2016-Feb-24 22:41 ±   00:01,7.88/0.02024,7.86/0.02019,3.8,3.77,615.0,26.8,6,NEA
(2016 GK135),2016-Mar-26 13:53 ±   00:05,8.00/0.02057,7.98/0.02050,2.48,2.43,509.0,28.3,5,NEA
(2016 CU29),2016-Feb-11 00:00 ±,8.03/0.02064,8.02/0.02061,9.03,9.01,1150.0,26.7,12,NEA
(2015 XV168),2015-Nov-30 22:38 ±   00:01,8.06/0.02070,8.02/0.02061,5.02,5.0,371.0,27.4,2,NEA
(2015 YQ),2015-Dec-11 11:36 ±   00:01,8.10/0.02082,8.05/0.02068,17.39,17.38,343.0,24.2,6,NEA
(2015 XA379),2016-Feb-07 02:38 ±,8.12/0.02085,8.12/0.02085,2.73,2.69,24300.0,25.4,45,NEA
(2016 AH65),2016-Jan-04 03:59 ±,8.20/0.02107,8.17/0.02099,8.76,8.75,480.0,25.8,6,NEA
(2015 VH1),2015-Nov-04 12:00 ±,8.20/0.02108,8.19/0.02104,5.08,5.06,981.0,27.4,11,NEA
(2016 AU193),2015-Dec-31 08:59 ±   00:01,8.24/0.02119,8.06/0.02070,21.92,21.92,110.0,25.3,2,NEA
(2015 UL52),2015-Oct-25 21:53 ±,8.28/0.02128,8.27/0.02125,6.69,6.67,1150.0,25.0,9,NEA
(2015 VE),2015-Oct-29 12:23 ±,8.34/0.02144,8.34/0.02142,5.93,5.91,1790.0,25.8,10,NEA
(2016 CQ246),2016-Feb-15 08:04 ±,8.35/0.02146,8.34/0.02142,17.54,17.53,1440.0,25.3,3,NEA
(2016 EE),2016-Feb-22 23:22 ±,8.35/0.02146,8.32/0.02139,9.8,9.79,601.0,25.5,5,NEA
(2016 RP17),2016-Sep-01 15:35 ±,8.39/0.02157,8.36/0.02148,19.33,19.33,624.0,24.5,9,NEA
(2015 XX169),2015-Dec-14 15:01 ±,8.41/0.02160,8.39/0.02156,6.35,6.33,826.0,27.4,4,NEA
(2015 TC144),2015-Oct-08 20:35 ±,8.47/0.02176,8.43/0.02167,24.67,24.67,629.0,24.4,7,NEA
(2016 HF3),2016-May-18 17:14 ±,8.49/0.02182,8.49/0.02181,7.56,7.55,5870.0,24.8,38,NEA
(2016 BQ15),2016-Feb-08 19:50 ±,8.52/0.02190,8.51/0.02187,20.83,20.82,1750.0,25.1,7,NEA
(2016 GV221),2016-Apr-21 23:01 ±,8.56/0.02198,8.54/0.02193,8.91,8.89,804.0,25.0,12,NEA
(2016 RV33),2016-Sep-05 00:16 ±,8.60/0.02210,8.54/0.02195,8.53,8.52,265.0,26.5,1,NEA
(2016 BK1),2016-Jan-17 09:55 ±,8.65/0.02222,8.63/0.02218,8.43,8.42,1190.0,24.8,8,NEA
(2016 RL17),2016-Sep-09 04:16 ±,8.69/0.02233,8.67/0.02229,7.72,7.7,971.0,26.6,3,NEA
(2016 NS),2016-Jul-20 17:41 ±,8.69/0.02234,8.68/0.02231,5.02,4.99,1140.0,25.5,10,NEA
(2016 AX164),2016-Jan-09 16:49 ±,8.70/0.02236,8.68/0.02231,7.87,7.85,944.0,26.2,3,NEA
(2016 EO55),2016-Mar-02 09:22 ±,8.82/0.02266,8.81/0.02263,7.08,7.06,1370.0,25.1,13,NEA
(2015 WZ12),2015-Dec-01 09:33 ±,8.82/0.02267,8.82/0.02267,7.89,7.88,9130.0,26.4,11,NEA
(2016 GC1),2016-Apr-21 10:51 ±,8.83/0.02269,8.81/0.02263,8.36,8.35,625.0,26.6,9,NEA
(2015 YK),2015-Dec-22 14:11 ±,8.86/0.02276,8.85/0.02275,3.33,3.29,3300.0,25.9,12,NEA
(2016 HP6),2016-May-02 03:54 ±,8.90/0.02286,8.88/0.02282,5.96,5.94,906.0,25.4,6,NEA
(2016 OF),2016-Jul-12 08:32 ±,8.97/0.02304,8.92/0.02292,9.04,9.03,341.0,23.0,8,NEA
(2015 XH261),2015-Nov-24 14:42 ±   00:09,8.97/0.02305,8.61/0.02213,12.22,12.21,183.0,24.6,3,NEA
(2015 VV105),2015-Nov-13 19:18 ±,8.98/0.02306,8.96/0.02301,5.54,5.52,744.0,28.3,4,NEA
(2016 EH1),2016-Feb-24 16:05 ±,9.01/0.02315,9.00/0.02312,8.94,8.92,1850.0,22.7,16,NEA
(2016 OV),2016-Aug-07 10:42 ±,9.04/0.02323,9.01/0.02316,12.47,12.46,776.0,24.7,8,NEA
(2016 GC134),2016-Apr-13 05:55 ±,9.04/0.02323,9.01/0.02315,4.75,4.72,455.0,26.0,6,NEA
(2015 VZ145),2015-Dec-08 08:33 ±,9.18/0.02359,9.18/0.02359,7.4,7.38,158000.0,23.5,23,NEA
P/2016 BA14 (PANSTARRS),2016-Mar-22 15:31 ±,9.21/0.02366,9.21/0.02366,14.01,14.0,25000000.0,,56,NEA
(2010 FX9),2016-Mar-19 11:38 ±,9.22/0.02370,9.22/0.02370,11.31,11.3,531000.0,24.2,22,NEA
(2016 CN29),2016-Jan-27 06:58 ±   00:01,9.23/0.02372,9.15/0.02351,18.43,18.42,311.0,24.3,4,NEA
(2016 AF166),2016-Jan-21 03:16 ±,9.25/0.02377,9.21/0.02365,11.53,11.52,408.0,25.4,4,NEA
(2015 XW384),2015-Dec-03 08:43 ±   09:18,9.30/0.02389,9.09/0.02335,12.49,12.48,34.9,25.8,2,NEA
(2015 YV9),2015-Dec-26 15:03 ±,9.36/0.02405,9.34/0.02399,7.4,7.38,749.0,25.8,5,NEA
(2015 XV129),2015-Dec-05 16:28 ±,9.41/0.02419,9.40/0.02415,6.94,6.93,945.0,26.9,5,NEA
(2015 UH),2015-Oct-29 17:57 ±,9.43/0.02423,9.36/0.02405,9.83,9.81,258.0,25.4,5,NEA
(2015 XQ129),2015-Nov-16 16:21 ±   00:48,9.44/0.02425,9.05/0.02326,17.76,17.75,137.0,24.5,3,NEA
(2015 TB25),2015-Oct-11 17:54 ±,9.51/0.02445,9.50/0.02441,9.55,9.54,1150.0,24.5,9,NEA
(2015 XU169),2015-Dec-10 03:05 ±,9.52/0.02446,9.49/0.02438,8.52,8.5,533.0,27.0,4,NEA
(2016 CE194),2016-Feb-06 23:23 ±,9.52/0.02447,9.51/0.02443,9.19,9.18,1130.0,26.1,9,NEA
(2015 XB128),2015-Nov-25 13:29 ±,9.54/0.02452,9.49/0.02439,9.21,9.2,357.0,25.2,4,NEA
(2015 WC1),2015-Nov-20 09:09 ±,9.68/0.02487,9.67/0.02485,6.08,6.07,1710.0,25.2,22,NEA
(2015 VT64),2015-Nov-09 19:14 ±,9.68/0.02488,9.66/0.02482,10.07,10.06,938.0,26.0,11,NEA
(2011 YD29),2015-Dec-24 05:20 ±   23:21,9.68/0.02488,7.00/0.01800,7.04,7.02,17900.0,26.3,4,NEA
(2016 EJ27),2016-Mar-12 19:04 ±,9.70/0.02492,9.69/0.02489,8.72,8.71,1590.0,25.2,11,NEA
(2016 DH),2016-Feb-15 10:56 ±   00:01,9.72/0.02497,9.69/0.02490,4.32,4.3,591.0,27.5,5,NEA
(2015 XL261),2015-Dec-17 11:58 ±,9.73/0.02499,9.69/0.02490,10.5,10.49,546.0,25.5,9,NEA
(2016 FT13),2016-Apr-07 06:21 ±,9.81/0.02520,9.78/0.02514,13.44,13.43,880.0,26.9,4,NEA
(2016 KR),2016-Jun-05 23:01 ±,9.88/0.02538,9.84/0.02529,12.89,12.88,592.0,25.2,7,NEA
(2015 XA378),2015-Dec-19 19:16 ±,10.00/0.02570,10.00/0.02570,17.2,17.19,38000.0,25.9,10,NEA
(2015 VD106),2015-Nov-09 20:08 ±,10.09/0.02592,10.04/0.02580,8.46,8.45,387.0,26.8,5,NEA
(2016 PP38),2016-Jul-22 22:54 ±   00:25,10.24/0.02630,9.99/0.02567,5.7,5.68,109.0,26.8,2,NEA
(2016 AC166),2016-Jan-09 23:28 ±,10.25/0.02634,10.20/0.02621,19.75,19.74,475.0,23.3,3,NEA
(2016 EJ55),2016-Feb-24 07:33 ±,10.32/0.02652,10.30/0.02646,6.98,6.97,1160.0,24.6,10,NEA
(2015 ST6),2015-Sep-29 03:28 ±,10.33/0.02654,10.28/0.02642,18.09,18.09,522.0,24.4,6,NEA
(2015 YC10),2016-Jan-04 15:20 ±,10.40/0.02672,10.38/0.02668,15.61,15.6,1290.0,24.9,8,NEA
(2016 ND1),2016-Jul-10 03:26 ±,10.43/0.02681,10.41/0.02676,5.08,5.06,908.0,25.0,6,NEA
(2015 VE106),2015-Nov-11 23:29 ±,10.53/0.02707,10.52/0.02702,6.28,6.26,948.0,24.3,7,NEA
(2015 TD179),2015-Nov-04 18:01 ±,10.55/0.02710,10.54/0.02708,10.12,10.11,1870.0,24.6,13,NEA
(2016 CB31),2016-Feb-24 06:35 ±,10.57/0.02716,10.56/0.02713,8.55,8.54,1680.0,25.0,11,NEA
(2016 CD136),2016-Jan-26 13:15 ±   00:01,10.62/0.02728,10.49/0.02696,11.82,11.81,324.0,25.8,4,NEA
(2015 TB1),2015-Sep-27 17:58 ±,10.64/0.02734,10.58/0.02720,8.25,8.24,333.0,26.4,8,NEA
(2016 GT),2016-Mar-22 01:23 ±,10.65/0.02737,10.62/0.02728,7.83,7.82,583.0,26.0,6,NEA
441987 (2010 NY65),2016-Jun-24 10:30 ±,10.71/0.02753,10.71/0.02753,12.95,12.95,73700000.0,21.5,66,NEA
(2015 TS238),2015-Oct-08 06:48 ±   00:04,10.72/0.02753,10.65/0.02737,15.32,15.31,391.0,25.4,4,NEA
(2016 RZ),2016-Aug-25 09:27 ±   00:03,10.73/0.02758,10.66/0.02740,4.33,4.31,253.0,26.7,3,NEA
(2016 FB12),2016-Mar-15 10:52 ±   00:04,10.75/0.02763,10.68/0.02745,6.26,6.24,251.0,26.0,3,NEA
(2016 EW1),2016-Mar-07 22:14 ±,10.76/0.02765,10.74/0.02760,12.67,12.66,1130.0,25.2,7,NEA
(2015 WP1),2015-Oct-29 11:07 ±   00:29,10.78/0.02770,10.59/0.02722,14.12,14.11,173.0,23.7,3,NEA
(2015 WF13),2015-Dec-07 00:50 ±,10.83/0.02782,10.83/0.02782,8.88,8.87,2360000.0,23.2,21,NEA
(2016 GF135),2016-Mar-26 09:51 ±   00:01,10.86/0.02791,10.74/0.02759,7.7,7.69,578.0,26.3,4,NEA
33342 (1998 WT24),2015-Dec-11 13:16 ±,10.89/0.02799,10.89/0.02799,8.51,8.5,87700000.0,17.9,166,NEA
(2016 EL27),2016-Mar-10 04:18 ±,10.91/0.02802,10.88/0.02797,9.7,9.69,996.0,26.1,7,NEA
(2016 BS39),2016-Jan-16 11:32 ±   00:04,10.98/0.02822,10.85/0.02787,10.51,10.5,160.0,26.2,2,NEA
(2015 XY351),2015-Dec-06 06:08 ±,11.00/0.02826,10.87/0.02794,7.98,7.97,158.0,26.8,3,NEA
(2016 CV137),2016-Feb-07 17:46 ±,11.00/0.02827,10.90/0.02801,7.85,7.84,188.0,27.2,2,NEA
(2016 RA34),2016-Sep-01 16:14 ±,11.01/0.02829,10.97/0.02818,8.86,8.85,495.0,24.6,3,NEA
(2011 EH17),2016-Mar-01 19:11 ±   03:07,11.05/0.02840,2.81/0.00721,16.71,16.71,1870.0,24.6,5,NEA
(2016 GU2),2016-Mar-28 09:12 ±,11.09/0.02849,11.06/0.02842,38.57,38.57,1860.0,24.1,6,NEA
(2016 BQ),2016-Feb-07 02:51 ±   00:02,11.11/0.02854,11.07/0.02844,3.85,3.82,459.0,26.8,5,NEA
(2016 CM137),2016-Feb-03 04:26 ±,11.16/0.02866,11.13/0.02860,10.82,10.81,929.0,25.8,7,NEA
(2015 XR378),2015-Dec-06 23:09 ±,11.23/0.02887,11.20/0.02878,7.74,7.73,606.0,25.1,11,NEA
(2016 EF28),2016-Feb-27 14:34 ±,11.25/0.02891,11.25/0.02890,18.19,18.19,13100.0,21.7,22,NEA
(2015 TM21),2015-Oct-09 13:55 ±,11.36/0.02919,11.33/0.02911,11.62,11.61,689.0,26.1,4,NEA
(2015 VF106),2015-Nov-03 22:01 ±   00:01,11.44/0.02940,11.39/0.02926,6.32,6.3,354.0,27.6,4,NEA
(2015 VR65),2015-Nov-04 04:56 ±,11.48/0.02951,11.43/0.02936,12.75,12.74,429.0,24.0,10,NEA
(2016 NJ39),2016-Jul-22 14:26 ±,11.53/0.02963,11.41/0.02933,10.36,10.35,190.0,25.2,4,NEA
(2016 FA),2016-Mar-17 15:54 ±,11.54/0.02966,11.53/0.02962,5.46,5.44,1500.0,25.3,15,NEA
(2000 SM10),2015-Oct-02 16:55 ±,11.70/0.03007,11.70/0.03007,12.91,12.9,242000.0,24.1,18,NEA
(2015 TC24),2015-Sep-30 05:05 ±,11.71/0.03008,11.63/0.02987,16.76,16.76,398.0,24.6,4,NEA
(2015 TD144),2015-Oct-20 17:34 ±,11.73/0.03015,11.73/0.03015,24.62,24.62,667000.0,22.6,15,NEA
(2015 XO129),2015-Nov-20 06:48 ±   00:05,11.76/0.03021,11.51/0.02958,13.17,13.16,101.0,25.2,3,NEA
(2015 SJ17),2015-Oct-03 06:18 ±   00:02,11.77/0.03025,11.56/0.02971,6.43,6.42,95.9,27.5,2,NEA
(2016 CA194),2016-Feb-12 06:53 ±   00:03,11.87/0.03050,11.69/0.03004,5.83,5.81,112.0,27.2,3,NEA
(2012 BU61),2016-Jan-02 06:56 ±,11.93/0.03065,11.93/0.03065,24.0,23.99,153000.0,21.5,15,NEA
(2011 SE97),2015-Oct-18 13:44 ±,11.95/0.03070,11.95/0.03070,12.88,12.87,308000.0,24.7,26,NEA
(2016 EJ156),2016-Mar-03 01:04 ±,11.99/0.03080,11.97/0.03075,4.92,4.9,1140.0,25.7,10,NEA
(2015 TX144),2015-Oct-07 08:22 ±   00:02,12.00/0.03082,11.95/0.03071,4.82,4.8,420.0,27.7,2,NEA
(2015 YA1),2015-Dec-05 13:43 ±   00:01,12.03/0.03090,11.96/0.03073,6.55,6.54,1090.0,24.5,7,NEA
(2016 LS1),2016-May-27 10:46 ±,12.10/0.03109,12.06/0.03099,5.95,5.93,526.0,26.2,4,NEA
(2016 CF29),2016-Feb-12 13:14 ±,12.11/0.03111,12.08/0.03104,16.52,16.51,901.0,24.9,7,NEA
(2016 EG158),2016-Mar-15 10:05 ±,12.13/0.03117,12.07/0.03101,6.77,6.75,328.0,27.1,4,NEA
(2016 QS11),2016-Sep-18 05:19 ±,12.18/0.03130,12.17/0.03126,3.76,3.74,1460.0,25.8,15,NEA
(2016 GG1),2016-Apr-02 20:42 ±,12.20/0.03135,12.16/0.03125,5.63,5.62,550.0,26.3,8,NEA
(2015 WF),2015-Nov-06 05:29 ±,12.28/0.03155,12.19/0.03132,7.21,7.2,241.0,25.9,6,NEA
(2016 DF),2016-Feb-18 03:08 ±   00:05,12.30/0.03160,12.26/0.03150,2.49,2.46,489.0,27.0,7,NEA
(2016 RD18),2016-Aug-31 11:15 ±,12.30/0.03161,12.22/0.03141,8.19,8.18,284.0,26.5,2,NEA
(2010 WD1),2016-Feb-22 18:02 ± 2_18:48,12.31/0.03164,12.05/0.03097,7.17,7.16,103.0,26.5,7,NEA
(2015 TC179),2015-Oct-14 20:17 ±   00:01,12.32/0.03165,12.29/0.03158,3.83,3.81,732.0,26.0,11,NEA
(2016 HN),2016-May-04 21:33 ±,12.35/0.03173,12.31/0.03164,11.66,11.66,699.0,22.6,15,NEA
(2015 XJ1),2015-Nov-18 20:09 ±,12.36/0.03176,12.36/0.03175,9.18,9.17,7330.0,23.4,13,NEA
(2015 TP21),2015-Oct-06 00:42 ±,12.36/0.03177,12.33/0.03167,9.8,9.8,624.0,26.7,5,NEA
(2016 EE27),2016-Feb-19 23:14 ±   00:31,12.42/0.03192,11.79/0.03028,22.22,22.22,66.5,23.9,2,NEA
(2016 FY2),2016-Mar-17 19:00 ±,12.43/0.03195,12.43/0.03194,3.4,3.38,4840.0,25.4,15,NEA
(2015 VE1),2015-Oct-24 08:06 ±,12.46/0.03202,12.46/0.03202,8.71,8.7,36700.0,21.0,40,NEA
(2016 RX),2016-Aug-30 17:27 ±,12.48/0.03206,12.35/0.03173,22.41,22.4,244.0,25.4,7,NEA
(2013 VA10),2016-Feb-08 03:57 ±,12.53/0.03219,12.53/0.03219,25.52,25.52,694000.0,22.2,20,NEA
(2016 AW193),2015-Dec-25 00:45 ±   00:01,12.54/0.03222,12.53/0.03219,12.29,12.28,4390.0,25.0,5,NEA
85990 (1999 JV6),2016-Jan-06 01:09 ±,12.61/0.03241,12.61/0.03241,9.62,9.61,28300000.0,20.2,207,NEA
(2016 GC207),2016-Apr-09 09:13 ±,12.67/0.03256,12.63/0.03246,8.29,8.28,554.0,26.9,3,NEA
(2016 FB15),2016-Mar-19 17:36 ±   00:02,12.67/0.03256,12.60/0.03238,4.82,4.8,283.0,26.7,3,NEA
(2016 JC6),2016-May-08 16:25 ±,12.80/0.03290,12.80/0.03290,5.69,5.68,1260000.0,21.4,34,NEA
(2016 AE2),2016-Jan-02 22:41 ±   00:04,12.81/0.03292,12.69/0.03261,6.19,6.18,183.0,26.4,2,NEA
(2015 VH2),2015-Nov-24 21:28 ±   00:02,12.86/0.03305,12.84/0.03300,2.81,2.78,1070.0,27.4,11,NEA
(2016 NX22),2016-Aug-02 11:32 ±,12.98/0.03335,12.96/0.03331,9.52,9.51,1800.0,23.7,12,NEA
(2016 EQ85),2016-Feb-27 08:31 ±   00:07,12.99/0.03337,12.84/0.03300,6.34,6.33,152.0,27.6,2,NEA
(2013 TX68),2016-Mar-08 00:06 ± 2_00:26,12.99/0.03338,0.08/0.00021,15.32,15.32,463.0,25.2,7,NEA
(2016 CP195),2016-Feb-15 08:43 ±,13.02/0.03347,12.96/0.03331,13.79,13.78,466.0,26.5,6,NEA
(2015 TV346),2015-Oct-11 01:57 ±   00:02,13.03/0.03347,12.92/0.03319,5.58,5.56,198.0,27.3,4,NEA
(2016 DU1),2016-Mar-03 21:08 ±,13.06/0.03355,13.00/0.03340,7.2,7.19,402.0,26.3,5,NEA
(2016 CY30),2016-Feb-23 18:11 ±,13.10/0.03367,13.04/0.03350,14.29,14.29,440.0,24.6,9,NEA
388945 (2008 TZ3),2016-May-05 10:39 ±,13.13/0.03373,13.13/0.03373,9.65,9.64,1110000.0,20.4,76,NEA
(2016 CL29),2016-Feb-01 06:39 ±,13.15/0.03379,13.12/0.03371,13.92,13.91,954.0,24.6,8,NEA
(2015 VM105),2015-Nov-08 20:28 ±,13.20/0.03391,13.16/0.03381,7.42,7.41,605.0,26.6,8,NEA
(2016 SF),2016-Sep-07 05:37 ±   01:07,13.20/0.03391,12.37/0.03178,15.22,15.21,48.0,24.4,1,NEA
(2015 XE1),2015-Dec-19 02:56 ±,13.21/0.03395,13.20/0.03392,5.09,5.07,1880.0,25.7,10,NEA
(2015 TG144),2015-Oct-16 08:59 ±,13.29/0.03415,13.20/0.03392,8.06,8.05,267.0,25.6,3,NEA
(2015 TL238),2015-Oct-27 09:35 ±,13.32/0.03422,13.28/0.03411,12.88,12.87,667.0,24.9,11,NEA
(2016 LY8),2016-Jun-18 13:12 ±,13.33/0.03426,13.33/0.03426,10.03,10.02,22700.0,23.1,16,NEA
(2016 BR),2016-Jan-07 16:24 ±   00:01,13.42/0.03448,13.31/0.03420,7.74,7.73,423.0,25.6,3,NEA
(2016 LB2),2016-May-14 02:36 ±   00:11,13.46/0.03458,13.25/0.03405,18.26,18.26,156.0,22.7,4,NEA
