recno,Name,Date,Time,RAdeg,DEdeg,length,angle,sigma,mag,snr,seeing,Inst,Filter,ExpTime,predRA,predDE,preda,predb,predlength,predangle,predmag,predsn, , ,"""Y:M:D""", ,deg,deg,arcsec,deg,arcsec,mag, ,arcsec, , ,s,deg,deg,arcsec,arcsec,arcsec,deg,mag
166,2013NJ10 ,06-07-2019,4-56-46,270.5677267,-24.70009155,4.6158525,173.2408566,0.51395547,22.14489704,10.96217496,1.224015479,ESO-VST/OMEGACAM,OCAM_g_SDSS,300,270.5675,-24.70011111,1.518,0.624,5.135193831,91.535,21.183,23.89749637,,,,,,,,,,,,,,,,,,,,,,
167,2013NJ10 ,06-07-2019,5-20-31,270.5610701,-24.70080653,4.50345,173.6747575,0.53889045,22.17753076,9.338367873,1.429110303,ESO-VST/OMEGACAM,OCAM_g_SDSS,300,270.560875,-24.70084722,1.518,0.624,5.12447219,91.535,21.183,20.51073711,,,,,,,,,,,,,,,,,,,,,,
168,2020BD2  ,08-07-2019,3-21-47,315.2244383,-44.43049631,5.39150136,113.1715977,2.99844636,23.00119411,3.913596932,0.974159985,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,315.2299583,-44.42543056,108.631,156.844,6.090176991,99.443,23.112,3.128491938,,,,,,,,,,,,,,,,,,,,,,
169,2019SK7  ,20-09-2019,05-03-2017,23.66435839,30.23306577,3.4980771,106.2581369,0.78048747,22.01895821,6.231785,1.426869501,ESO-VST/OMEGACAM,OCAM_r_SDSS,120,23.66441667,30.23304167,1.055,1.754,3.759010226,92.026,21.656,8.101287429,,,,,,,,,,,,,,,,,,,,,,
170,2019SK7  ,20-09-2019,5-27-23,23.65789243,30.22177167,3.56797371,112.389453,0.48818763,21.7521956,8.673974676,1.284965122,ESO-VST/OMEGACAM,OCAM_r_SDSS,120,23.65810417,30.22193056,1.056,1.75,3.833100702,92.022,21.654,8.838329486,,,,,,,,,,,,,,,,,,,,,,
171,2019SK7  ,20-09-2019,5-30-09,23.65733181,30.22057999,4.64060016,111.1244768,0.47280555,21.54075561,8.265671193,1.259664407,ESO-VST/OMEGACAM,OCAM_r_SDSS,120,23.657375,30.22065278,1.056,1.749,3.759010226,92.022,21.654,9.193554141,,,,,,,,,,,,,,,,,,,,,,
172,2019SY5  ,06-09-2019,0-34-18,331.7102211,-37.5142091,7.96937652,123.735106,0.33441681,21.01649272,15.58119371,1.029844334,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,331.7106667,-37.51440278,14.053,21.038,8.796611248,114.826,20.676,19.31558191,,,,,,,,,,,,,,,,,,,,,,
173,2019SY5  ,06-09-2019,0-40-23,331.7121059,-37.51200715,8.35400391,124.9545321,0.41458074,21.12864422,13.18669025,1.046900908,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,331.7125,-37.51226389,14.045,21.034,8.796611249,114.82,20.676,19.00088389,,,,,,,,,,,,,,,,,,,,,,
174,2019SY5  ,06-09-2019,0-46-27,331.7139387,-37.50987114,7.77839034,123.284532,0.37688847,21.0233669,18.28723693,0.893324321,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,331.7143125,-37.51013889,14.037,21.03,8.970110186,114.813,20.676,21.83674105,,,,,,,,,,,,,,,,,,,,,,
175,2015OS35 ,18-02-2020,5-34-15,141.4976944,-7.185684388,4.51861095,24.49469059,0.49631778,23.54239753,4.139113523,0.646410019,ESO-VST/OMEGACAM,OCAM_r_SDSS,300,141.4975625,-7.185680556,1.198,0.541,3.565480297,91.228,23.533,5.291219999,,,,,,,,,,,,,,,,,,,,,,
176,2020ON1  ,29-02-2020,4-19-14,197.9425682,-17.06780541,4.24815951,64.37811082,0.38892462,22.76373193,6.857362611,0.878098105,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,197.9429792,-17.06806944,5.2,3.314,4.182424615,95.96,22.578,8.264655624,,,,,,,,,,,,,,,,,,,,,,
177,2020ON1  ,29-02-2020,4-25-19,197.9431477,-17.06893308,4.51114524,64.88580872,0.50012655,22.82826078,6.97087666,0.766505408,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,197.9435625,-17.06923611,5.2,3.314,4.182424615,95.96,22.578,9.467876375,,,,,,,,,,,,,,,,,,,,,,
178,2020ON1  ,29-02-2020,4-31-24,197.9437467,-17.07009054,3.99324219,61.80942643,0.56031549,22.98054427,8.568685857,0.612260387,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,197.9441667,-17.07040278,5.2,3.314,4.114629122,95.96,22.578,12.04839237,,,,,,,,,,,,,,,,,,,,,,
179,2020ON1  ,01-03-2020,05-03-1932,198.1001894,-17.35490267,4.15645482,65.53989734,0.38123883,22.74629289,9.98756332,0.62617248,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,198.1005833,-17.35180556,5.263,3.32,4.204780208,96.016,22.524,12.11598246,,,,,,,,,,,,,,,,,,,,,,
180,2020ON1  ,01-03-2020,05-09-1936,198.0987747,-17.3511592,4.13086611,71.29015907,0.35796285,23.86753232,3.735218572,0.599823775,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,198.101125,-17.35298611,5.263,3.32,4.114629122,96.016,22.524,12.92532847,,,,,,,,,,,,,,,,,,,,,,
181,2009WK6  ,11-01-2021,4-13-42,105.3096688,16.27594284,4.90628733,5.14773931,2.44379457,22.34032011,8.470766256,0.909054712,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,105.3091875,16.275875,3.124,0.723,4.959103576,93.188,21.828,13.43390834,,,,,,,,,,,,,,,,,,,,,,
182,2009WK6  ,12-01-2021,03-09-1947,104.9666836,16.29286375,4.25416824,364.4280294,0.36258285,22.53730943,7.526535362,0.98414752,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,104.9669167,16.29277778,3.112,0.716,4.80418586,93.175,21.871,12.31163236,,,,,,,,,,,,,,,,,,,,,,
183,2009WK6  ,12-01-2021,3-28-01,104.9621195,16.29312146,4.92734949,3.713912428,1.40107296,22.38972691,8.429485155,0.869137646,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,104.9622708,16.29301389,3.112,0.716,4.959103576,93.175,21.872,13.49285464,,,,,,,,,,,,,,,,,,,,,,
184,2021VK1  ,24-10-2021,2-39-58,29.81539825,17.8536246,4.09017546,45.10060203,0.79359714,20.89436777,7.377782577,2.053428,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,29.81545833,17.85345833,1.814,1.568,5.940559696,92.073,19.869,13.06138017,,,,,,,,,,,,,,,,,,,,,,
185,2021UF9  ,03-10-2021,3-32-53,33.2143182,-20.78905147,6.92001597,122.5478802,0.3978933,22.06725434,8.903111858,0.788575137,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,33.21452083,-20.78902778,3.583,3.151,7.410992596,93.771,21.84,10.24885891,,,,,,,,,,,,,,,,,,,,,,
186,2021UF9  ,03-10-2021,3-38-57,33.21574113,-20.78726685,6.99982815,125.153062,0.54317571,22.1851528,7.639900153,0.814999916,ESO-VST/OMEGACAM,OCAM_r_SDSS,320,33.21589583,-20.78711111,3.582,3.149,7.410992596,93.77,21.84,9.916559688,,,,,,,,,,,,,,,,,,,,,,
187,2021FM2  ,22-03-2021,3-22-14,195.2861576,-0.572430056,8.31830244,100.8464161,0.43744974,20.34968475,9.425578346,1.305202101,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.2860833,-0.572388889,1.154,1.373,7.025688228,91.506,20.391,10.74308568,,,,,,,,,,,,,,,,,,,,,,
188,2021FM2  ,22-03-2021,3-23-58,195.2864204,-0.56903735,7.43361507,98.91033443,0.43189524,20.24798653,11.49862254,1.314782398,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.2863333,-0.569027778,1.148,1.364,7.025688228,91.495,20.393,10.64517787,,,,,,,,,,,,,,,,,,,,,,
189,2021FM2  ,22-03-2021,3-25-42,195.2866714,-0.565669213,7.58800497,96.58727705,1.42289889,20.38111242,10.7043958,1.223938641,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.2865833,-0.565680556,1.141,1.355,6.926058828,91.485,20.395,11.57843531,,,,,,,,,,,,,,,,,,,,,,
190,2021FM2  ,22-03-2021,3-27-27,195.2868942,-0.562283318,7.5913635,99.05787106,0.82779165,20.58511236,8.280523847,1.310605041,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.2868125,-0.562291667,1.135,1.346,6.914679343,91.475,20.397,10.8106503,,,,,,,,,,,,,,,,,,,,,,
191,2021FM2  ,22-03-2021,3-29-11,195.2871186,-0.558914605,7.68785766,97.29843226,0.6681654,20.41065108,10.22255486,1.231031494,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.2870625,-0.558944444,1.129,1.338,7.014470373,91.464,20.399,11.3248284,,,,,,,,,,,,,,,,,,,,,,
192,2021FM2  ,22-03-2021,3-30-56,195.2873382,-0.555638363,8.05372806,96.0720161,0.80136756,20.35353091,9.523223847,1.32953894,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.2872708,-0.555569444,1.123,1.329,6.914679343,91.454,20.401,10.61750787,,,,,,,,,,,,,,,,,,,,,,
193,2021FM2  ,22-03-2021,3-32-40,195.2875559,-0.552215456,7.82669391,98.45162442,0.65348955,20.41698667,10.19916564,1.204915845,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.2874792,-0.552236111,1.116,1.321,6.914679343,91.444,20.403,11.69410361,,,,,,,,,,,,,,,,,,,,,,
194,2021FM2  ,22-03-2021,3-34-25,195.2877627,-0.548928081,8.12273448,97.2680655,0.62230875,20.09628069,12.29103973,1.294467717,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.2876667,-0.548875,1.11,1.312,6.90653966,91.434,20.405,10.87787254,,,,,,,,,,,,,,,,,,,,,,
195,2021FM2  ,22-03-2021,3-36-10,195.2879408,-0.545516711,8.14381554,99.25273401,0.90028071,20.43468719,8.967263741,1.295781076,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.2878542,-0.545527778,1.104,1.304,6.81489444,91.424,20.407,10.99271456,,,,,,,,,,,,,,,,,,,,,,
196,2021FM2  ,22-03-2021,3-37-56,195.2881225,-0.542197993,7.57667316,97.1661936,0.61697769,20.37615291,11.28859535,1.167655571,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.2880417,-0.542152778,1.098,1.296,6.90653966,91.414,20.409,12.01490756,,,,,,,,,,,,,,,,,,,,,,
