recno,Name,Date,Time,RAdeg,DEdeg,length,angle,sigma,mag,snr,seeing,Inst,Filter,ExpTime,predRA,predDE,preda,predb,predlength,predangle,predmag,predsn, , ,"""Y:M:D""", ,deg,deg,arcsec,deg,arcsec,mag, ,arcsec, , ,s,deg,deg,arcsec,arcsec,arcsec,deg,mag
53,2015HO10 ,23-04-2015,6-38-16,198.204389,-17.72207691,4.68511323,88.62769006,0.51832389,23.26390594,4.182806269,0.797313581,ESO-VST/OMEGACAM,OCAM_g_SDSS,150,198.2043542,-17.72231944,1.074,5.88,4.323503393,95.883,22.95,6.052245341,,,,,,,,,,,,,,,,,,,,,,
54,2015HO10 ,23-04-2015,7-25-07,198.2023414,-17.74422271,4.6495806,95.14388177,0.28878927,23.57248693,2.672093526,0.946496851,ESO-VST/OMEGACAM,OCAM_g_SDSS,150,198.2023333,-17.74443056,1.054,5.986,4.310473412,95.986,22.952,5.104313648,,,,,,,,,,,,,,,,,,,,,,
55,2015JW   ,24-05-2015,5-53-46,251.8229665,-26.55970504,15.97882419,17.52093478,0.48027273,19.10988279,9.492765584,2.113506989,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,251.8235,-26.56,1.044,0.698,13.20039978,91.047,19.519,7.883231812,,,,,,,,,,,,,,,,,,,,,,
56,2016AW65 ,19-07-2015,03-05-2023,237.145533,1.4908944,9.77373873,114.4762226,0.67098318,21.96034217,7.832659656,0.742785049,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,237.1393125,1.490847222,322.884,37.644,10.08627402,125.061,21.781,8.953173323,,,,,,,,,,,,,,,,,,,,,,
57,2016AW65 ,19-07-2015,03-09-2008,237.1440245,1.487714494,10.18366272,115.4069353,0.7156695,21.82943343,8.159644993,0.772007218,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,237.1378125,1.487708333,322.868,37.653,10.08627402,125.076,21.781,8.614276049,,,,,,,,,,,,,,,,,,,,,,
58,2015RX2  ,03-07-2015,6-30-48,250.3343494,-48.96606168,3.97583571,132.31767,0.4218081,20.51235703,39.92953668,1.240834518,ESO-VST/OMEGACAM,OCAM_r_SDSS,300,250.3401875,-48.96438889,46.494,27.894,4.490288253,143.264,20.051,54.07460114,,,,,,,,,,,,,,,,,,,,,,
59,2015RX2  ,03-07-2015,7-37-43,250.3468225,-48.95395924,3.38073603,124.8037869,0.40951176,20.75748878,49.19281511,0.94508513,ESO-VST/OMEGACAM,OCAM_r_SDSS,300,250.3526458,-48.95231944,46.485,27.892,4.774170139,143.255,20.05,66.83631074,,,,,,,,,,,,,,,,,,,,,,
60,2015RB2  ,14-08-2015,0-21-07,226.5949312,-0.563583658,12.50951604,23.26489398,0.64019151,22.56304355,3.142820968,0.83021855,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,226.5942917,-0.563166667,23.214,12.035,19.31322892,116.062,22.029,3.329071751,,,,,,,,,,,,,,,,,,,,,,
61,2016AX64 ,04-01-2016,05-12-1954,118.6912202,-24.09519031,17.91038802,114.7096456,0.28104678,21.02256709,5.408430965,0.656387988,ESO-VST/OMEGACAM,OCAM_g_SDSS,40,118.6899792,-24.09741667,4.15,8.341,19.20789699,99.197,20.758,6.434632963,,,,,,,,,,,,,,,,,,,,,,
62,2016UA41 ,17-10-2016,4-34-12,30.35201857,-34.92297651,9.88480836,73.4007064,0.63583086,19.33104127,5.921309233,0.933451748,ESO-VST/OMEGACAM,OCAM_i_SDSS,40,30.35220833,-34.92306944,2.373,9.581,9.868151522,99.682,18.968,8.286432949,,,,,,,,,,,,,,,,,,,,,,
63,2016UA41 ,17-10-2016,4-35-37,30.35008479,-34.91731571,9.66279384,72.10118083,0.68179881,19.396516,5.966946596,0.892140211,ESO-VST/OMEGACAM,OCAM_i_SDSS,40,30.35027083,-34.91754167,2.372,9.579,9.819007709,99.68,18.968,8.713539259,,,,,,,,,,,,,,,,,,,,,,
64,2016UA41 ,17-10-2016,4-38-29,30.34623457,-34.9062525,9.87571704,75.08308238,0.51324399,18.93815772,9.414896379,0.843814745,ESO-VST/OMEGACAM,OCAM_i_SDSS,40,30.346375,-34.90636111,2.371,9.576,9.962450423,99.677,18.968,9.079919774,,,,,,,,,,,,,,,,,,,,,,
65,2016UA41 ,17-10-2016,4-39-54,30.3442793,-34.90073043,9.44973141,73.52337667,0.51938985,19.26824088,6.837654998,0.895924426,ESO-VST/OMEGACAM,OCAM_i_SDSS,40,30.34445833,-34.90083333,2.37,9.574,9.962450423,99.675,18.968,8.551804107,,,,,,,,,,,,,,,,,,,,,,
66,2005UG1  ,04-11-2016,0-52-15,8.007360306,-29.0612285,17.14859643,58.60510267,2.65213536,21.3626163,5.399475218,1.06498466,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,8.007333333,-29.06108333,1.071,1.998,17.82163709,92.21,21.364,5.188950984,,,,,,,,,,,,,,,,,,,,,,
67,2005UG1  ,04-11-2016,0-56-00,8.010841476,-29.06599492,16.572654,58.55227596,0.58967328,21.34345909,4.110282463,1.473406692,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,8.010958333,-29.06608333,1.071,1.999,17.82163709,92.211,21.365,3.747143132,,,,,,,,,,,,,,,,,,,,,,
